loan_amnt,term,int_rate,annual_inc,installment,verification_status,grade,revol_util,loan_status
5000,0,10.65,24000.0,162.87,1,5,83.7,0
2500,1,15.27,30000.0,59.83,2,4,9.4,1
2400,0,15.96,12252.0,84.33,0,4,98.5,0
10000,0,13.49,49200.0,339.31,2,4,21.0,0
5000,0,7.9,36000.0,156.46,2,6,28.3,0
7000,1,15.96,47004.0,170.08,0,4,85.6,0
3000,0,18.64,48000.0,109.43,2,2,87.5,0
5600,1,21.28,40000.0,152.39,2,1,32.6,1
5375,1,12.69,15000.0,121.45,1,5,36.5,1
6500,1,14.65,72000.0,153.45,0,4,20.6,0
12000,0,12.69,75000.0,402.54,2,5,67.1,0
9000,0,13.49,30000.0,305.38,2,4,91.7,1
3000,0,9.91,15000.0,96.68,2,5,43.1,0
10000,0,10.65,100000.0,325.74,2,5,55.5,1
1000,0,16.29,28000.0,35.31,0,3,81.5,0
10000,0,15.27,42000.0,347.98,0,4,70.2,0
3600,0,6.03,110000.0,109.57,0,6,16.0,0
6000,0,11.71,84000.0,198.46,1,5,37.73,0
9200,0,6.03,77385.19,280.01,0,6,23.1,0
20250,1,15.27,43370.0,484.63,1,4,85.6,0
21000,0,12.42,105000.0,701.73,1,5,90.3,1
10000,0,11.71,50000.0,330.76,2,5,82.4,0
10000,0,11.71,50000.0,330.76,0,5,91.8,0
6000,0,11.71,76000.0,198.46,0,5,29.7,1
15000,0,9.91,92000.0,483.38,1,5,93.9,0
15000,0,14.27,60000.0,514.64,0,4,57.6,1
5000,1,16.77,50004.0,123.65,0,3,59.5,1
4000,0,11.71,106000.0,132.31,0,5,37.7,0
8500,0,11.71,25000.0,281.15,2,5,59.1,0
4375,0,7.51,17108.0,136.11,2,6,86.9,0
31825,0,7.9,75000.0,995.82,1,6,27.4,0
5000,0,8.9,24044.0,158.77,1,6,29.3,0
7000,0,15.96,34000.0,245.97,2,4,60.5,0
12400,0,10.65,41000.0,403.91,0,5,57.2,0
10800,0,9.91,55596.0,348.03,2,5,13.3,0
15000,0,7.9,45000.0,469.36,1,6,50.4,0
6000,0,12.42,36852.0,200.5,2,5,66.5,0
9600,0,7.51,68004.0,298.67,2,6,18.1,0
12000,0,7.9,62300.0,375.49,0,6,21.0,0
3000,0,18.25,65000.0,108.84,0,3,98.1,0
4400,0,16.77,55000.0,156.37,0,3,99.0,0
6000,0,6.03,45600.0,182.62,0,6,32.5,0
14000,0,9.91,80000.0,451.15,0,5,13.4,0
5000,0,8.9,100000.0,158.77,2,6,62.1,1
10000,0,10.65,27000.0,325.74,1,5,52.3,0
10000,0,6.03,60000.0,304.36,0,6,19.5,0
11000,0,6.62,70000.0,337.75,0,6,36.4,0
15000,0,9.91,80000.0,483.38,0,5,63.7,1
25600,0,9.91,110000.0,824.96,1,5,62.0,0
7000,0,10.65,40000.0,228.02,0,5,92.9,0
12000,0,15.96,50000.0,421.65,0,4,90.8,1
12000,0,9.91,46000.0,386.7,0,5,52.1,0
21000,1,19.91,50000.0,555.33,1,2,97.6,1
16000,1,19.91,81000.0,423.11,1,2,75.1,0
10000,0,12.42,39000.0,334.16,0,5,72.7,0
10000,0,10.65,51400.0,325.74,0,5,59.1,0
7100,0,16.77,33000.0,252.33,1,3,91.2,0
13000,1,12.69,30000.0,293.74,2,5,58.9,0
17500,1,17.27,40000.0,223.74,1,3,58.9,0
17675,1,14.65,50000.0,417.25,2,4,57.4,0
8000,0,16.77,62000.0,284.31,0,3,66.9,0
10000,1,10.65,45996.0,215.69,1,5,30.1,1
3500,0,10.65,55000.0,114.01,0,5,45.9,0
12500,1,17.27,30000.0,223.11,2,3,70.8,1
16425,0,14.27,44544.0,563.53,2,4,83.4,0
8200,1,21.28,75000.0,223.14,2,1,73.9,1
15000,0,14.65,61000.0,517.42,1,4,79.5,0
20975,1,17.58,44000.0,341.63,1,3,79.4,0
6400,0,16.77,75000.0,227.45,0,3,67.5,1
3000,0,13.49,33600.0,101.8,0,4,83.2,0
12000,0,16.77,50000.0,426.47,0,3,97.0,0
14400,0,8.9,150000.0,457.25,2,6,55.0,0
12000,0,14.65,90000.0,413.94,0,4,78.5,0
11000,0,13.49,48000.0,373.24,1,4,65.0,0
7250,1,21.67,75000.0,197.51,1,1,91.2,0
15000,0,7.9,52000.0,469.36,0,6,6.7,0
18000,1,19.91,65000.0,475.99,0,2,77.8,0
35000,1,17.27,150000.0,551.84,1,3,53.3,0
10000,0,14.27,68000.0,343.09,2,4,81.3,0
11800,0,12.69,42000.0,395.83,2,5,74.8,0
4500,0,6.03,53000.0,136.96,2,6,13.9,0
7000,0,12.69,35000.0,234.82,2,5,82.3,0
9200,0,12.42,60000.0,307.43,2,5,78.7,0
4500,1,10.65,42000.0,97.06,2,5,78.3,0
12000,0,16.29,88365.0,423.61,1,3,96.4,0
12000,0,13.49,72000.0,407.17,2,4,27.6,0
12000,0,10.65,62000.0,390.88,1,5,78.4,0
7000,0,10.65,43680.0,228.02,0,5,78.1,0
8200,1,19.42,120000.0,214.62,2,2,88.4,0
10500,0,12.69,66000.0,352.23,1,5,51.2,0
7000,0,11.71,39120.0,231.54,0,5,52.4,0
20000,1,11.71,47800.0,282.86,1,5,46.3,0
17500,1,17.27,45000.0,437.47,0,3,86.1,1
3500,0,6.03,83000.0,106.53,1,6,13.4,0
6200,0,9.91,25000.0,199.8,0,5,47.7,1
16000,1,17.58,65000.0,402.65,0,3,87.1,0
6000,0,8.9,28800.0,190.52,0,6,36.8,0
7200,0,9.91,135000.0,232.02,0,5,79.6,0
9500,0,8.9,50000.0,301.66,0,6,60.5,0
18825,1,16.77,38000.0,465.53,1,3,79.7,1
24000,0,10.65,45000.0,781.76,1,5,55.2,0
6000,0,13.49,80000.0,203.59,0,4,83.8,0
6000,0,13.49,50000.0,203.59,0,4,91.5,0
2100,0,12.42,30000.0,70.18,0,5,82.9,0
5500,0,6.62,110000.0,168.88,1,6,21.9,0
11000,0,6.62,45608.0,337.75,2,6,58.7,0
26800,1,20.89,120000.0,723.38,1,1,48.0,0
8000,0,12.69,35000.0,268.36,0,5,97.7,0
10000,0,18.25,75000.0,362.78,2,3,96.3,1
8000,0,11.71,35000.0,264.61,1,5,46.5,0
10000,0,8.9,24000.0,317.54,1,6,49.5,0
12000,0,11.71,126000.0,396.92,0,5,54.1,0
10000,0,7.9,43000.0,312.91,0,6,37.2,0
12000,0,9.91,50000.0,386.7,0,5,29.3,0
25000,1,13.49,67000.0,575.12,1,4,91.2,1
19750,0,10.65,45000.0,643.33,1,5,54.2,1
10000,0,9.91,31200.0,322.25,2,5,27.0,0
13650,0,12.42,66000.0,456.12,1,5,56.5,0
28000,1,19.91,52000.0,312.04,1,2,87.6,1
18000,0,7.9,56964.0,563.23,2,6,76.6,0
2500,0,14.27,49500.0,85.78,2,4,37.7,0
21000,1,20.3,70000.0,559.89,1,2,70.7,0
35000,0,8.9,125000.0,1111.37,1,6,34.8,0
10000,0,7.51,33000.0,311.11,0,6,0.6,0
7000,0,12.69,30000.0,234.82,2,5,47.6,0
24000,0,15.96,90000.0,843.3,2,4,71.2,1
10625,0,7.51,23000.0,330.56,0,6,43.4,0
5000,0,14.65,24000.0,172.48,2,4,33.3,0
8850,0,6.62,62000.0,271.73,2,6,35.9,0
6375,0,7.51,44000.0,198.34,2,6,58.0,0
6000,0,11.71,90000.0,198.46,0,5,56.6,0
11100,0,6.62,41000.0,340.82,1,6,62.3,1
10000,1,12.69,56000.0,225.95,2,5,31.2,0
6200,0,6.03,26500.0,188.71,0,6,16.0,0
15000,0,18.64,54000.0,547.12,0,2,90.3,0
4200,0,11.71,53000.0,138.92,0,5,79.7,0
14000,0,14.27,52800.0,480.33,0,4,70.8,0
8875,0,7.51,38000.0,276.11,0,6,62.1,0
13500,0,9.91,38000.0,435.04,1,5,67.3,0
12000,0,9.91,42000.0,386.7,0,5,65.4,1
16000,1,19.91,55000.0,423.11,1,2,72.4,0
21600,1,19.42,60000.0,565.32,2,2,78.1,0
6000,0,10.65,87000.0,195.44,0,5,40.5,0
8450,1,16.77,25000.0,208.97,1,3,83.5,0
20000,1,13.49,82000.0,460.1,0,4,61.4,0
10000,0,11.71,60000.0,330.76,0,5,29.3,1
12000,0,16.29,80000.0,423.61,1,3,97.2,0
13475,1,13.49,25000.0,309.99,1,4,65.8,1
7200,0,12.42,48000.0,240.59,0,5,80.2,0
5600,0,14.65,85000.0,193.17,0,4,90.8,1
12000,0,14.27,57000.0,411.71,1,4,81.5,0
8500,0,6.03,25000.0,258.71,0,6,28.0,0
8000,0,9.91,34000.0,257.8,2,5,78.5,0
8000,0,12.42,40000.0,267.33,0,5,88.2,0
16000,1,15.27,42656.4,382.92,2,4,92.3,0
15000,0,17.27,44400.0,536.81,2,3,91.6,0
10000,0,9.91,30000.0,322.25,0,5,66.8,0
10000,0,6.62,70000.0,307.04,0,6,69.0,0
8000,0,14.65,28000.0,275.96,0,4,54.3,0
22000,0,9.91,50000.0,708.95,1,5,49.8,0
6000,0,14.27,94800.0,205.86,1,4,95.9,0
16000,1,9.91,40000.0,339.25,1,5,28.5,0
2500,0,7.51,12000.0,77.78,2,6,42.2,1
13500,0,9.91,36000.0,435.04,2,5,67.2,0
25000,0,12.42,225000.0,835.39,1,5,34.6,0
10000,0,13.49,45900.0,339.31,1,4,48.3,0
2500,0,13.49,27200.0,84.83,0,4,68.1,0
7325,0,12.69,42000.0,245.72,0,5,65.0,0
4000,0,12.42,135000.0,133.67,1,5,85.7,0
10000,0,13.49,65000.0,339.31,0,4,69.5,1
7750,0,17.27,24000.0,277.36,0,3,67.1,1
20000,1,20.89,70000.0,539.84,2,1,79.9,1
9600,0,12.42,65000.0,320.79,1,5,70.9,0
21000,1,11.71,60000.0,464.07,0,5,79.9,1
14000,0,10.65,30000.0,456.03,2,5,65.6,0
13350,0,12.42,43000.0,446.1,0,5,95.3,0
15000,0,16.77,42000.0,533.08,1,3,74.9,1
15000,0,17.27,75000.0,536.81,2,3,75.9,1
11000,1,13.49,129000.0,253.06,1,4,24.1,0
35000,0,10.65,168000.0,1140.07,1,5,1.4,0
9000,0,10.65,74000.0,293.16,2,5,71.7,0
22475,1,15.27,52000.0,537.87,1,4,61.8,0
16000,0,12.69,58500.0,536.72,2,5,89.3,1
13500,0,12.69,71000.0,452.86,2,5,77.7,0
24000,0,12.69,75000.0,805.08,1,5,84.6,0
12000,0,10.65,60000.0,390.88,0,5,48.8,0
8400,1,16.77,87996.0,207.73,0,3,80.3,0
28000,1,17.58,140000.0,704.64,1,3,13.4,0
14000,0,6.62,66000.0,429.86,2,6,35.4,0
12000,0,14.27,70000.0,411.71,0,4,86.2,1
25000,0,11.71,100000.0,826.9,1,5,89.1,0
9000,0,12.69,50000.0,301.91,2,5,55.4,0
13250,0,10.65,35000.0,431.6,0,5,58.7,0
20000,0,13.49,75000.0,678.61,1,4,90.8,0
3000,0,14.65,71000.0,103.49,1,4,88.7,0
7350,0,10.65,48000.0,239.42,0,5,77.5,0
11500,0,15.27,36000.0,400.18,0,4,76.7,0
13650,0,12.42,86000.0,456.12,0,5,73.4,1
10500,0,16.29,30000.0,370.66,2,3,55.5,1
12000,0,9.91,60000.0,386.7,0,5,85.7,0
6000,0,8.9,34000.0,190.52,0,6,64.8,0
11500,0,15.27,44200.0,400.18,1,4,90.0,0
7000,0,12.42,82000.0,233.91,0,5,71.6,0
29500,1,20.3,83000.0,786.51,2,2,89.8,0
2000,0,15.27,41000.0,69.6,1,4,96.4,0
11625,0,13.49,36000.0,394.45,2,4,84.7,0
15075,0,14.27,35000.0,517.21,1,4,89.6,1
5300,0,15.27,30000.0,184.43,1,4,82.7,0
8200,0,6.62,40000.0,251.77,2,6,25.5,0
12000,0,12.42,105000.0,400.99,0,5,75.0,0
8650,0,14.27,45000.0,296.78,2,4,58.9,0
21000,1,17.27,109000.0,294.98,1,3,50.3,0
12000,0,12.42,83000.0,400.99,0,5,51.1,0
9500,0,12.69,52500.0,318.68,2,5,75.3,1
7400,0,13.49,25000.0,251.09,2,4,92.8,0
14400,0,13.49,60000.0,488.6,0,4,65.0,0
24250,1,23.91,120000.0,519.76,1,0,99.0,0
7200,0,7.9,68000.0,225.29,2,6,82.9,1
26000,1,16.77,53000.0,642.96,1,3,72.7,1
7000,1,11.71,69600.0,154.69,1,5,90.9,1
4000,0,7.51,65000.0,124.45,2,6,50.7,0
1500,0,17.27,144000.0,53.69,1,3,97.8,0
19600,0,12.42,75000.0,654.94,1,5,50.1,0
2500,0,11.71,29000.0,82.69,1,5,66.7,0
10000,0,12.69,70000.0,335.45,0,5,70.2,1
10000,0,6.62,45000.0,307.04,0,6,70.4,0
4225,0,12.42,55200.0,141.18,0,5,73.7,0
3500,0,7.9,61440.0,109.52,0,6,55.5,0
12000,0,6.62,56000.0,368.45,0,6,80.3,0
16500,0,8.9,47000.0,523.93,2,6,38.8,0
22000,1,21.67,55000.0,603.5,1,1,79.4,0
12000,0,14.65,71000.0,413.94,1,4,71.0,0
15600,1,12.69,50000.0,352.48,2,5,35.7,1
10800,0,12.42,135000.0,360.89,1,5,74.5,0
14000,0,12.42,63000.0,467.82,0,5,97.8,0
6000,0,13.49,50000.0,203.59,0,4,83.6,0
12000,0,9.91,80000.0,386.7,0,5,67.7,0
10000,0,12.42,45000.0,334.16,0,5,51.6,0
8000,0,7.9,78000.0,250.33,0,6,55.9,0
14125,0,9.91,33000.0,455.18,1,5,66.0,0
14000,0,12.69,62800.0,469.63,0,5,64.5,0
13200,1,17.27,26400.0,224.36,2,3,50.1,0
4000,0,19.03,80000.0,146.69,0,2,22.6,0
4000,0,12.69,25000.0,134.18,0,5,79.7,1
10500,0,6.03,65000.0,319.58,2,6,18.7,0
5500,0,7.9,59000.0,172.1,2,6,43.3,0
7350,0,11.71,33000.0,243.11,1,5,77.9,0
10000,0,12.42,39000.0,334.16,2,5,90.6,1
12000,0,7.51,42000.0,373.33,0,6,43.0,0
5000,1,11.71,38004.0,110.5,0,5,57.3,0
8000,1,11.71,31000.0,176.79,2,5,34.4,0
4500,0,8.9,50700.0,142.89,1,6,24.4,0
18000,0,12.42,75000.0,601.48,1,5,66.1,0
12000,0,13.49,40000.0,407.17,0,4,80.5,0
10000,0,13.49,50000.0,339.31,0,4,47.6,0
6000,0,7.9,80000.0,187.75,0,6,30.3,0
12000,0,12.69,40000.0,402.54,0,5,55.5,0
12000,0,8.9,80000.0,381.04,0,6,83.5,1
7000,0,11.71,75000.0,231.54,2,5,94.1,0
35000,1,18.64,85000.0,690.56,1,2,53.0,0
1400,0,7.9,28800.0,43.81,0,6,9.9,0
16000,1,13.49,35000.0,368.08,1,4,58.5,1
3200,0,9.91,61200.0,103.12,0,5,33.3,0
8000,0,7.9,40000.0,250.33,0,6,34.4,0
11875,1,12.69,25920.0,268.32,2,5,94.1,1
5000,0,6.03,54000.0,152.18,0,6,4.0,0
1800,0,6.62,18000.0,55.27,0,6,39.8,0
35000,0,8.9,85000.0,1111.37,1,6,61.5,0
18000,0,8.9,78000.0,571.56,1,6,66.3,0
14000,0,7.9,45600.0,438.07,0,6,63.9,1
5000,0,12.42,70000.0,167.08,0,5,54.2,0
8000,0,15.96,70000.0,281.1,2,4,91.9,0
10000,0,6.03,80000.0,304.36,0,6,45.2,0
10000,0,7.51,50000.0,311.11,1,6,25.7,0
12000,0,12.42,35000.0,400.99,1,5,75.7,0
23200,0,7.9,65000.0,725.94,1,6,47.0,0
4800,0,15.27,75000.0,167.03,0,4,73.7,0
7300,0,11.71,35000.0,241.46,0,5,44.6,0
10400,0,9.91,40000.0,335.14,2,5,80.6,0
6600,0,9.91,100000.0,212.69,0,5,27.8,0
12000,0,8.9,40000.0,381.04,0,6,37.4,0
13250,0,17.27,52000.0,474.19,1,3,91.5,0
12000,0,11.71,92500.0,396.92,2,5,56.2,0
25000,0,9.91,61000.0,805.63,2,5,49.4,0
6000,0,10.65,36000.0,195.44,0,5,48.5,0
12000,0,7.51,68000.0,373.33,0,6,55.6,0
14400,0,11.71,80000.0,476.3,0,5,48.4,0
10000,0,12.42,43000.0,334.16,0,5,65.5,0
8000,0,11.71,150000.0,264.61,0,5,56.2,0
8000,0,16.29,50000.0,282.41,0,3,72.9,1
30000,1,12.42,70000.0,673.72,2,5,3.2,1
18000,1,16.77,40000.0,445.13,0,3,73.4,1
13250,0,11.71,35000.0,438.26,0,5,67.2,0
14000,0,14.27,80000.0,480.33,0,4,96.2,0
20000,1,20.3,59000.0,533.23,1,2,83.1,1
10000,0,16.29,40000.0,353.01,1,3,96.4,0
35000,1,20.3,85000.0,619.88,1,2,74.5,0
4000,0,6.03,55000.0,121.75,0,6,43.8,0
13000,0,9.91,110000.0,418.93,0,5,81.3,0
28000,0,12.69,100000.0,939.26,2,5,67.5,0
10000,0,13.49,62000.0,339.31,0,4,79.1,0
20000,0,7.9,45000.0,625.81,1,6,74.9,0
18000,0,9.91,110000.0,580.05,1,5,62.5,0
9000,1,19.91,60000.0,238.0,1,2,91.1,1
25000,1,18.64,61500.0,643.58,1,2,60.8,1
10000,0,11.71,33000.0,330.76,0,5,88.3,0
4200,0,6.03,61000.0,127.83,0,6,12.9,0
20000,1,15.27,78216.0,478.64,1,4,80.3,1
18000,1,17.27,62000.0,449.97,1,3,86.7,1
24000,0,16.29,50964.0,847.21,1,3,69.4,0
4475,0,15.27,43680.0,155.72,0,4,33.5,0
12000,0,12.42,50700.0,400.99,2,5,80.8,0
18000,1,17.58,60000.0,452.98,1,3,83.7,0
